"Unnamed Column","School DBN","School Name","School Type","School Level","Regents Exam","Year","Category","Total Tested","Mean Score","Number Scoring Below 65","Percent Scoring Below 65","Number Scoring 65 or Above","Percent Scoring 65 or Above","Number Scoring 80 or Above","Percent Scoring 80 or Above","Number Scoring CR","Percent Scoring CR"
"25Q4252017All StudentsFrench","25Q425","John Bowne High School","General Academic","High school","French","2017","All Students","4","s","s","s","s","s","s","s","s","s"
"25Q4252017All StudentsGlobal History and Geography","25Q425","John Bowne High School","General Academic","High school","Global History and Geography","2017","All Students","1,243","66.4","525","42.2","718","57.8","265","21.3","na","na"
"25Q4252017All StudentsItalian","25Q425","John Bowne High School","General Academic","High school","Italian","2017","All Students","21","82.0","0","0.0","21","100.0","14","66.7","na","na"
"25Q4252017All StudentsLiving Environment","25Q425","John Bowne High School","General Academic","High school","Living Environment","2017","All Students","934","69.1","302","32.3","632","67.7","242","25.9","na","na"
"25Q4252017All StudentsPhysical Settings/Chemistry","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Chemistry","2017","All Students","320","70.1","96","30.0","224","70.0","64","20.0","na","na"
"25Q4252017All StudentsPhysical Settings/Earth Science","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Earth Science","2017","All Students","684","65.6","295","43.1","389","56.9","137","20.0","na","na"
"25Q4252017All StudentsPhysical Settings/Physics","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Physics","2017","All Students","97","76.8","17","17.5","80","82.5","45","46.4","na","na"
"25Q4252017All StudentsSpanish","25Q425","John Bowne High School","General Academic","High school","Spanish","2017","All Students","232","82.7","20","8.6","212","91.4","154","66.4","na","na"
"25Q4252017All StudentsU.S. History and Government","25Q425","John Bowne High School","General Academic","High school","U.S. History and Government","2017","All Students","1,023","74.0","238","23.3","785","76.7","416","40.7","na","na"
"25Q4252018All StudentsChinese","25Q425","John Bowne High School","General Academic","High school","Chinese","2018","All Students","82","93.0","0","0.0","82","100.0","77","93.9","na","na"
"25Q4252018All StudentsCommon Core Algebra","25Q425","John Bowne High School","General Academic","High school","Common Core Algebra","2018","All Students","1,853","66.7","658","35.5","1195","64.5","240","13.0","928","50.1"
"25Q4252018All StudentsCommon Core Algebra2","25Q425","John Bowne High School","General Academic","High school","Common Core Algebra2","2018","All Students","497","68.9","146","29.4","351","70.6","87","17.5","351","70.6"
"25Q4252018All StudentsCommon Core English","25Q425","John Bowne High School","General Academic","High school","Common Core English","2018","All Students","1,088","71.2","245","22.5","843","77.5","481","44.2","595","54.7"
"25Q4252018All StudentsCommon Core Geometry","25Q425","John Bowne High School","General Academic","High school","Common Core Geometry","2018","All Students","616","60.9","342","55.5","274","44.5","68","11.0","191","31.0"
"25Q4252018All StudentsGlobal History and Geography","25Q425","John Bowne High School","General Academic","High school","Global History and Geography","2018","All Students","1,118","68.2","414","37.0","704","63.0","331","29.6","na","na"
"25Q4252018All StudentsItalian","25Q425","John Bowne High School","General Academic","High school","Italian","2018","All Students","9","83.1","0","0.0","9","100.0","6","66.7","na","na"
"25Q4252018All StudentsLiving Environment","25Q425","John Bowne High School","General Academic","High school","Living Environment","2018","All Students","1,000","70.7","325","32.5","675","67.5","337","33.7","na","na"
"25Q4252018All StudentsPhysical Settings/Chemistry","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Chemistry","2018","All Students","305","67.8","111","36.4","194","63.6","37","12.1","na","na"
"25Q4252018All StudentsPhysical Settings/Earth Science","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Earth Science","2018","All Students","563","66.4","212","37.7","351","62.3","114","20.2","na","na"
"25Q4252018All StudentsPhysical Settings/Physics","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Physics","2018","All Students","95","69.9","29","30.5","66","69.5","21","22.1","na","na"
"25Q4252018All StudentsSpanish","25Q425","John Bowne High School","General Academic","High school","Spanish","2018","All Students","292","84.7","25","8.6","267","91.4","212","72.6","na","na"
"25Q4252018All StudentsU.S. History and Government","25Q425","John Bowne High School","General Academic","High school","U.S. History and Government","2018","All Students","827","73.9","209","25.3","618","74.7","368","44.5","na","na"
"25Q4252019All StudentsChinese","25Q425","John Bowne High School","General Academic","High school","Chinese","2019","All Students","58","90.2","1","1.7","57","98.3","54","93.1","na","na"
"25Q4252019All StudentsCommon Core Algebra","25Q425","John Bowne High School","General Academic","High school","Common Core Algebra","2019","All Students","1,370","66.1","549","40.1","821","59.9","187","13.6","628","45.8"
"25Q4252019All StudentsCommon Core Algebra2","25Q425","John Bowne High School","General Academic","High school","Common Core Algebra2","2019","All Students","422","69.5","121","28.7","301","71.3","106","25.1","301","71.3"
"25Q4252019All StudentsCommon Core English","25Q425","John Bowne High School","General Academic","High school","Common Core English","2019","All Students","1,000","76.4","176","17.6","824","82.4","583","58.3","674","67.4"
"25Q4252019All StudentsCommon Core Geometry","25Q425","John Bowne High School","General Academic","High school","Common Core Geometry","2019","All Students","780","63.3","397","50.9","383","49.1","123","15.8","315","40.4"
"25Q4252019All StudentsGlobal History and Geography","25Q425","John Bowne High School","General Academic","High school","Global History and Geography","2019","All Students","1,071","66.7","381","35.6","690","64.4","186","17.4","na","na"
"25Q4252019All StudentsItalian","25Q425","John Bowne High School","General Academic","High school","Italian","2019","All Students","51","79.0","6","11.8","45","88.2","28","54.9","na","na"
"25Q4252019All StudentsLiving Environment","25Q425","John Bowne High School","General Academic","High school","Living Environment","2019","All Students","865","68.0","339","39.2","526","60.8","235","27.2","na","na"
"25Q4252019All StudentsPhysical Settings/Chemistry","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Chemistry","2019","All Students","349","71.5","101","28.9","248","71.1","96","27.5","na","na"
"25Q4252019All StudentsPhysical Settings/Earth Science","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Earth Science","2019","All Students","505","64.2","229","45.3","276","54.7","107","21.2","na","na"
"25Q4252019All StudentsPhysical Settings/Physics","25Q425","John Bowne High School","General Academic","High school","Physical Settings/Physics","2019","All Students","44","77.1","6","13.6","38","86.4","19","43.2","na","na"
"25Q4252019All StudentsSpanish","25Q425","John Bowne High School","General Academic","High school","Spanish","2019","All Students","349","83.0","32","9.2","317","90.8","231","66.2","na","na"
"25Q4252019All StudentsU.S. History and Government","25Q425","John Bowne High School","General Academic","High school","U.S. History and Government","2019","All Students","866","72.8","252","29.1","614","70.9","363","41.9","na","na"
"25Q4602015All StudentsAlgebra2/Trigonometry","25Q460","Flushing High School","General Academic","High school","Algebra2/Trigonometry","2015","All Students","70","72.3","20","28.6","50","71.4","24","34.3","24","34.3"
"25Q4602015All StudentsChinese","25Q460","Flushing High School","General Academic","High school","Chinese","2015","All Students","23","91.4","0","0.0","23","100.0","23","100.0","na","na"
"25Q4602015All StudentsCommon Core Algebra","25Q460","Flushing High School","General Academic","High school","Common Core Algebra","2015","All Students","417","57.7","284","68.1","133","31.9","2","0.5","46","11.0"
"25Q4602015All StudentsCommon Core English","25Q460","Flushing High School","General Academic","High school","Common Core English","2015","All Students","97","78.5","14","14.4","83","85.6","54","55.7","69","71.1"
"25Q4602015All StudentsCommon Core Geometry","25Q460","Flushing High School","General Academic","High school","Common Core Geometry","2015","All Students","75","64.8","38","50.7","37","49.3","9","12.0","27","36.0"
"25Q4602015All StudentsEnglish","25Q460","Flushing High School","General Academic","High school","English","2015","All Students","590","64.8","202","34.2","388","65.8","114","19.3","188","31.9"
"25Q4602015All StudentsFrench","25Q460","Flushing High School","General Academic","High school","French","2015","All Students","7","88.0","0","0.0","7","100.0","5","71.4","na","na"
"25Q4602015All StudentsGeometry","25Q460","Flushing High School","General Academic","High school","Geometry","2015","All Students","149","70.0","42","28.2","107","71.8","35","23.5","35","23.5"
"25Q4602015All StudentsGlobal History and Geography","25Q460","Flushing High School","General Academic","High school","Global History and Geography","2015","All Students","762","57.0","446","58.5","316","41.5","63","8.3","na","na"
"25Q4602015All StudentsIntegrated Algebra","25Q460","Flushing High School","General Academic","High school","Integrated Algebra","2015","All Students","423","64.0","195","46.1","228","53.9","33","7.8","33","7.8"
"25Q4602015All StudentsLiving Environment","25Q460","Flushing High School","General Academic","High school","Living Environment","2015","All Students","719","64.0","312","43.4","407","56.6","90","12.5","na","na"
"25Q4602015All StudentsPhysical Settings/Chemistry","25Q460","Flushing High School","General Academic","High school","Physical Settings/Chemistry","2015","All Students","133","60.2","86","64.7","47","35.3","6","4.5","na","na"
"25Q4602015All StudentsPhysical Settings/Earth Science","25Q460","Flushing High School","General Academic","High school","Physical Settings/Earth Science","2015","All Students","247","58.9","140","56.7","107","43.3","20","8.1","na","na"
"25Q4602015All StudentsPhysical Settings/Physics","25Q460","Flushing High School","General Academic","High school","Physical Settings/Physics","2015","All Students","20","64.7","9","45.0","11","55.0","1","5.0","na","na"
"25Q4602015All StudentsSpanish","25Q460","Flushing High School","General Academic","High school","Spanish","2015","All Students","101","91.8","1","1.0","100","99.0","90","89.1","na","na"
"25Q4602015All StudentsU.S. History and Government","25Q460","Flushing High School","General Academic","High school","U.S. History and Government","2015","All Students","636","68.3","213","33.5","423","66.5","179","28.1","na","na"
"25Q4602016All StudentsAlgebra2/Trigonometry","25Q460","Flushing High School","General Academic","High school","Algebra2/Trigonometry","2016","All Students","85","60.8","53","62.4","32","37.6","16","18.8","16","18.8"
"25Q4602016All StudentsChinese","25Q460","Flushing High School","General Academic","High school","Chinese","2016","All Students","6","92.8","0","0.0","6","100.0","6","100.0","na","na"
"25Q4602016All StudentsCommon Core Algebra","25Q460","Flushing High School","General Academic","High school","Common Core Algebra","2016","All Students","790","62.9","396","50.1","394","49.9","68","8.6","254","32.2"
"25Q4602016All StudentsCommon Core Algebra2","25Q460","Flushing High School","General Academic","High school","Common Core Algebra2","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4602016All StudentsCommon Core English","25Q460","Flushing High School","General Academic","High school","Common Core English","2016","All Students","387","62.5","141","36.4","246","63.6","114","29.5","175","45.2"
"25Q4602016All StudentsCommon Core Geometry","25Q460","Flushing High School","General Academic","High school","Common Core Geometry","2016","All Students","58","57.6","37","63.8","21","36.2","3","5.2","16","27.6"
"25Q4602016All StudentsEnglish","25Q460","Flushing High School","General Academic","High school","English","2016","All Students","147","55.8","87","59.2","60","40.8","11","7.5","21","14.3"
"25Q4602016All StudentsFrench","25Q460","Flushing High School","General Academic","High school","French","2016","All Students","6","73.8","1","16.7","5","83.3","2","33.3","na","na"
"25Q4602016All StudentsGeometry","25Q460","Flushing High School","General Academic","High school","Geometry","2016","All Students","90","55.3","70","77.8","20","22.2","1","1.1","1","1.1"
"25Q4602016All StudentsGlobal History and Geography","25Q460","Flushing High School","General Academic","High school","Global History and Geography","2016","All Students","665","57.5","381","57.3","284","42.7","46","6.9","na","na"
"25Q4602016All StudentsIntegrated Algebra","25Q460","Flushing High School","General Academic","High school","Integrated Algebra","2016","All Students","34","57.2","25","73.5","9","26.5","0","0.0","0","0.0"
"25Q4602016All StudentsLiving Environment","25Q460","Flushing High School","General Academic","High school","Living Environment","2016","All Students","656","65.1","269","41.0","387","59.0","100","15.2","na","na"
"25Q4602016All StudentsPhysical Settings/Chemistry","25Q460","Flushing High School","General Academic","High school","Physical Settings/Chemistry","2016","All Students","61","59.5","42","68.9","19","31.1","3","4.9","na","na"
"25Q4602016All StudentsPhysical Settings/Earth Science","25Q460","Flushing High School","General Academic","High school","Physical Settings/Earth Science","2016","All Students","313","53.1","221","70.6","92","29.4","16","5.1","na","na"
"25Q4602016All StudentsPhysical Settings/Physics","25Q460","Flushing High School","General Academic","High school","Physical Settings/Physics","2016","All Students","22","59.0","16","72.7","6","27.3","1","4.5","na","na"
"25Q4602016All StudentsSpanish","25Q460","Flushing High School","General Academic","High school","Spanish","2016","All Students","154","87.7","6","3.9","148","96.1","121","78.6","na","na"
"25Q4602016All StudentsU.S. History and Government","25Q460","Flushing High School","General Academic","High school","U.S. History and Government","2016","All Students","481","66.0","180","37.4","301","62.6","107","22.2","na","na"
"25Q4602017All StudentsAlgebra2/Trigonometry","25Q460","Flushing High School","General Academic","High school","Algebra2/Trigonometry","2017","All Students","13","46.8","12","92.3","1","7.7","0","0.0","0","0.0"
"25Q4602017All StudentsChinese","25Q460","Flushing High School","General Academic","High school","Chinese","2017","All Students","11","76.6","2","18.2","9","81.8","8","72.7","na","na"
"25Q4602017All StudentsCommon Core Algebra","25Q460","Flushing High School","General Academic","High school","Common Core Algebra","2017","All Students","827","64.4","377","45.6","450","54.4","85","10.3","329","39.8"
"25Q4602017All StudentsCommon Core Algebra2","25Q460","Flushing High School","General Academic","High school","Common Core Algebra2","2017","All Students","191","61.6","102","53.4","89","46.6","5","2.6","89","46.6"
"25Q4602017All StudentsCommon Core English","25Q460","Flushing High School","General Academic","High school","Common Core English","2017","All Students","512","65.5","151","29.5","361","70.5","179","35.0","240","46.9"
"25Q4602017All StudentsCommon Core Geometry","25Q460","Flushing High School","General Academic","High school","Common Core Geometry","2017","All Students","130","55.0","99","76.2","31","23.8","3","2.3","21","16.2"
"25Q4602017All StudentsFrench","25Q460","Flushing High School","General Academic","High school","French","2017","All Students","2","s","s","s","s","s","s","s","s","s"
"25Q4602017All StudentsGlobal History and Geography","25Q460","Flushing High School","General Academic","High school","Global History and Geography","2017","All Students","662","57.5","388","58.6","274","41.4","56","8.5","na","na"
"25Q4602017All StudentsLiving Environment","25Q460","Flushing High School","General Academic","High school","Living Environment","2017","All Students","656","62.9","337","51.4","319","48.6","64","9.8","na","na"
"25Q4602017All StudentsPhysical Settings/Chemistry","25Q460","Flushing High School","General Academic","High school","Physical Settings/Chemistry","2017","All Students","124","53.8","107","86.3","17","13.7","0","0.0","na","na"
"25Q4602017All StudentsPhysical Settings/Earth Science","25Q460","Flushing High School","General Academic","High school","Physical Settings/Earth Science","2017","All Students","327","56.5","219","67.0","108","33.0","24","7.3","na","na"
"25Q4602017All StudentsPhysical Settings/Physics","25Q460","Flushing High School","General Academic","High school","Physical Settings/Physics","2017","All Students","31","56.0","23","74.2","8","25.8","3","9.7","na","na"
"25Q4602017All StudentsSpanish","25Q460","Flushing High School","General Academic","High school","Spanish","2017","All Students","126","82.7","11","8.7","115","91.3","91","72.2","na","na"
"25Q4602017All StudentsU.S. History and Government","25Q460","Flushing High School","General Academic","High school","U.S. History and Government","2017","All Students","433","66.1","159","36.7","274","63.3","94","21.7","na","na"
"25Q4602018All StudentsChinese","25Q460","Flushing High School","General Academic","High school","Chinese","2018","All Students","5","s","s","s","s","s","s","s","s","s"
"25Q4602018All StudentsCommon Core Algebra","25Q460","Flushing High School","General Academic","High school","Common Core Algebra","2018","All Students","726","62.2","355","48.9","371","51.1","42","5.8","248","34.2"
"25Q4602018All StudentsCommon Core Algebra2","25Q460","Flushing High School","General Academic","High school","Common Core Algebra2","2018","All Students","143","66.5","49","34.3","94","65.7","8","5.6","94","65.7"
"25Q4602018All StudentsCommon Core English","25Q460","Flushing High School","General Academic","High school","Common Core English","2018","All Students","538","65.4","172","32.0","366","68.0","176","32.7","235","43.7"
"25Q4602018All StudentsCommon Core Geometry","25Q460","Flushing High School","General Academic","High school","Common Core Geometry","2018","All Students","224","56.9","149","66.5","75","33.5","9","4.0","53","23.7"
"25Q4602018All StudentsGlobal History and Geography","25Q460","Flushing High School","General Academic","High school","Global History and Geography","2018","All Students","637","61.7","324","50.9","313","49.1","82","12.9","na","na"
"25Q4602018All StudentsLiving Environment","25Q460","Flushing High School","General Academic","High school","Living Environment","2018","All Students","592","63.0","283","47.8","309","52.2","47","7.9","na","na"
"25Q4602018All StudentsPhysical Settings/Chemistry","25Q460","Flushing High School","General Academic","High school","Physical Settings/Chemistry","2018","All Students","82","61.2","54","65.9","28","34.1","4","4.9","na","na"
"25Q4602018All StudentsPhysical Settings/Earth Science","25Q460","Flushing High School","General Academic","High school","Physical Settings/Earth Science","2018","All Students","177","61.0","97","54.8","80","45.2","11","6.2","na","na"
"25Q4602018All StudentsPhysical Settings/Physics","25Q460","Flushing High School","General Academic","High school","Physical Settings/Physics","2018","All Students","25","78.9","4","16.0","21","84.0","13","52.0","na","na"
"25Q4602018All StudentsSpanish","25Q460","Flushing High School","General Academic","High school","Spanish","2018","All Students","143","83.1","14","9.8","129","90.2","102","71.3","na","na"
"25Q4602018All StudentsU.S. History and Government","25Q460","Flushing High School","General Academic","High school","U.S. History and Government","2018","All Students","434","68.3","158","36.4","276","63.6","119","27.4","na","na"
"25Q4602019All StudentsCommon Core Algebra","25Q460","Flushing High School","General Academic","High school","Common Core Algebra","2019","All Students","674","62.7","342","50.7","332","49.3","54","8.0","224","33.2"
"25Q4602019All StudentsCommon Core Algebra2","25Q460","Flushing High School","General Academic","High school","Common Core Algebra2","2019","All Students","154","64.1","61","39.6","93","60.4","7","4.5","93","60.4"
"25Q4602019All StudentsCommon Core English","25Q460","Flushing High School","General Academic","High school","Common Core English","2019","All Students","481","67.5","132","27.4","349","72.6","155","32.2","238","49.5"
"25Q4602019All StudentsCommon Core Geometry","25Q460","Flushing High School","General Academic","High school","Common Core Geometry","2019","All Students","553","54.3","402","72.7","151","27.3","12","2.2","91","16.5"
"25Q4602019All StudentsGlobal History and Geography","25Q460","Flushing High School","General Academic","High school","Global History and Geography","2019","All Students","540","62.1","263","48.7","277","51.3","51","9.4","na","na"
"25Q4602019All StudentsLiving Environment","25Q460","Flushing High School","General Academic","High school","Living Environment","2019","All Students","620","62.0","318","51.3","302","48.7","57","9.2","na","na"
"25Q4602019All StudentsPhysical Settings/Chemistry","25Q460","Flushing High School","General Academic","High school","Physical Settings/Chemistry","2019","All Students","175","50.1","150","85.7","25","14.3","3","1.7","na","na"
"25Q4602019All StudentsPhysical Settings/Earth Science","25Q460","Flushing High School","General Academic","High school","Physical Settings/Earth Science","2019","All Students","134","58.1","83","61.9","51","38.1","17","12.7","na","na"
"25Q4602019All StudentsPhysical Settings/Physics","25Q460","Flushing High School","General Academic","High school","Physical Settings/Physics","2019","All Students","13","69.6","3","23.1","10","76.9","2","15.4","na","na"
"25Q4602019All StudentsSpanish","25Q460","Flushing High School","General Academic","High school","Spanish","2019","All Students","323","82.2","41","12.7","282","87.3","220","68.1","na","na"
"25Q4602019All StudentsU.S. History and Government","25Q460","Flushing High School","General Academic","High school","U.S. History and Government","2019","All Students","397","66.4","156","39.3","241","60.7","86","21.7","na","na"
"25Q4672015All StudentsAlgebra2/Trigonometry","25Q467","Flushing Yabc","YABC","High school","Algebra2/Trigonometry","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4672015All StudentsCommon Core Algebra","25Q467","Flushing Yabc","YABC","High school","Common Core Algebra","2015","All Students","12","50.7","12","100.0","0","0.0","0","0.0","0","0.0"
"25Q4672015All StudentsCommon Core English","25Q467","Flushing Yabc","YABC","High school","Common Core English","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4672015All StudentsEnglish","25Q467","Flushing Yabc","YABC","High school","English","2015","All Students","49","60.2","28","57.1","21","42.9","4","8.2","7","14.3"
"25Q4672015All StudentsGeometry","25Q467","Flushing Yabc","YABC","High school","Geometry","2015","All Students","10","46.1","10","100.0","0","0.0","0","0.0","0","0.0"
"25Q4672015All StudentsGlobal History and Geography","25Q467","Flushing Yabc","YABC","High school","Global History and Geography","2015","All Students","64","50.5","50","78.1","14","21.9","1","1.6","na","na"
"25Q4672015All StudentsIntegrated Algebra","25Q467","Flushing Yabc","YABC","High school","Integrated Algebra","2015","All Students","25","57.4","21","84.0","4","16.0","0","0.0","0","0.0"
"25Q4672015All StudentsLiving Environment","25Q467","Flushing Yabc","YABC","High school","Living Environment","2015","All Students","49","60.1","30","61.2","19","38.8","0","0.0","na","na"
"25Q4672015All StudentsPhysical Settings/Earth Science","25Q467","Flushing Yabc","YABC","High school","Physical Settings/Earth Science","2015","All Students","4","s","s","s","s","s","s","s","s","s"
"25Q4672015All StudentsU.S. History and Government","25Q467","Flushing Yabc","YABC","High school","U.S. History and Government","2015","All Students","72","59.4","40","55.6","32","44.4","4","5.6","na","na"
"25Q4672016All StudentsCommon Core Algebra","25Q467","Flushing Yabc","YABC","High school","Common Core Algebra","2016","All Students","15","50.5","13","86.7","2","13.3","0","0.0","0","0.0"
"25Q4672016All StudentsCommon Core English","25Q467","Flushing Yabc","YABC","High school","Common Core English","2016","All Students","40","43.5","32","80.0","8","20.0","6","15.0","7","17.5"
"25Q4672016All StudentsCommon Core Geometry","25Q467","Flushing Yabc","YABC","High school","Common Core Geometry","2016","All Students","7","40.6","7","100.0","0","0.0","0","0.0","0","0.0"
"25Q4672016All StudentsEnglish","25Q467","Flushing Yabc","YABC","High school","English","2016","All Students","36","51.8","28","77.8","8","22.2","0","0.0","1","2.8"
"25Q4672016All StudentsGeometry","25Q467","Flushing Yabc","YABC","High school","Geometry","2016","All Students","2","s","s","s","s","s","s","s","s","s"
"25Q4672016All StudentsGlobal History and Geography","25Q467","Flushing Yabc","YABC","High school","Global History and Geography","2016","All Students","59","54.3","40","67.8","19","32.2","3","5.1","na","na"
"25Q4672016All StudentsIntegrated Algebra","25Q467","Flushing Yabc","YABC","High school","Integrated Algebra","2016","All Students","22","61.4","13","59.1","9","40.9","2","9.1","2","9.1"
"25Q4672016All StudentsLiving Environment","25Q467","Flushing Yabc","YABC","High school","Living Environment","2016","All Students","41","58.1","27","65.9","14","34.1","3","7.3","na","na"
"25Q4672016All StudentsPhysical Settings/Earth Science","25Q467","Flushing Yabc","YABC","High school","Physical Settings/Earth Science","2016","All Students","16","48.4","13","81.3","3","18.8","0","0.0","na","na"
"25Q4672016All StudentsU.S. History and Government","25Q467","Flushing Yabc","YABC","High school","U.S. History and Government","2016","All Students","59","56.6","40","67.8","19","32.2","4","6.8","na","na"
"25Q4672017All StudentsCommon Core Algebra","25Q467","Flushing Yabc","YABC","High school","Common Core Algebra","2017","All Students","22","56.5","16","72.7","6","27.3","0","0.0","4","18.2"
"25Q4672017All StudentsCommon Core English","25Q467","Flushing Yabc","YABC","High school","Common Core English","2017","All Students","55","57.0","32","58.2","23","41.8","10","18.2","11","20.0"
"25Q4672017All StudentsCommon Core Geometry","25Q467","Flushing Yabc","YABC","High school","Common Core Geometry","2017","All Students","2","s","s","s","s","s","s","s","s","s"
"25Q4672017All StudentsGlobal History and Geography","25Q467","Flushing Yabc","YABC","High school","Global History and Geography","2017","All Students","52","54.9","38","73.1","14","26.9","2","3.8","na","na"
"25Q4672017All StudentsPhysical Settings/Earth Science","25Q467","Flushing Yabc","YABC","High school","Physical Settings/Earth Science","2017","All Students","12","41.2","11","91.7","1","8.3","1","8.3","na","na"
"25Q4672017All StudentsU.S. History and Government","25Q467","Flushing Yabc","YABC","High school","U.S. History and Government","2017","All Students","54","54.6","41","75.9","13","24.1","3","5.6","na","na"
"25Q4672018All StudentsChinese","25Q467","Flushing Yabc","YABC","High school","Chinese","2018","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4672018All StudentsCommon Core Algebra","25Q467","Flushing Yabc","YABC","High school","Common Core Algebra","2018","All Students","18","51.8","17","94.4","1","5.6","0","0.0","1","5.6"
"25Q4672018All StudentsCommon Core English","25Q467","Flushing Yabc","YABC","High school","Common Core English","2018","All Students","40","48.8","27","67.5","13","32.5","3","7.5","3","7.5"
"25Q4672018All StudentsCommon Core Geometry","25Q467","Flushing Yabc","YABC","High school","Common Core Geometry","2018","All Students","8","40.4","8","100.0","0","0.0","0","0.0","0","0.0"
"25Q4672018All StudentsGlobal History and Geography","25Q467","Flushing Yabc","YABC","High school","Global History and Geography","2018","All Students","56","50.8","52","92.9","4","7.1","1","1.8","na","na"
"25Q4672018All StudentsLiving Environment","25Q467","Flushing Yabc","YABC","High school","Living Environment","2018","All Students","39","56.5","32","82.1","7","17.9","1","2.6","na","na"
"25Q4672018All StudentsPhysical Settings/Earth Science","25Q467","Flushing Yabc","YABC","High school","Physical Settings/Earth Science","2018","All Students","14","43.7","14","100.0","0","0.0","0","0.0","na","na"
"25Q4672018All StudentsSpanish","25Q467","Flushing Yabc","YABC","High school","Spanish","2018","All Students","2","s","s","s","s","s","s","s","s","s"
"25Q4672018All StudentsU.S. History and Government","25Q467","Flushing Yabc","YABC","High school","U.S. History and Government","2018","All Students","55","53.9","39","70.9","16","29.1","1","1.8","na","na"
"25Q4672019All StudentsChinese","25Q467","Flushing Yabc","YABC","High school","Chinese","2019","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4672019All StudentsCommon Core Algebra","25Q467","Flushing Yabc","YABC","High school","Common Core Algebra","2019","All Students","33","50.7","28","84.8","5","15.2","0","0.0","2","6.1"
"25Q4672019All StudentsCommon Core English","25Q467","Flushing Yabc","YABC","High school","Common Core English","2019","All Students","50","54.3","31","62.0","19","38.0","3","6.0","6","12.0"
"25Q4672019All StudentsCommon Core Geometry","25Q467","Flushing Yabc","YABC","High school","Common Core Geometry","2019","All Students","3","s","s","s","s","s","s","s","s","s"
"25Q4672019All StudentsGlobal History and Geography","25Q467","Flushing Yabc","YABC","High school","Global History and Geography","2019","All Students","57","50.2","46","80.7","11","19.3","0","0.0","na","na"
"25Q4672019All StudentsLiving Environment","25Q467","Flushing Yabc","YABC","High school","Living Environment","2019","All Students","35","55.1","32","91.4","3","8.6","0","0.0","na","na"
"25Q4672019All StudentsPhysical Settings/Earth Science","25Q467","Flushing Yabc","YABC","High school","Physical Settings/Earth Science","2019","All Students","10","41.4","10","100.0","0","0.0","0","0.0","na","na"
"25Q4672019All StudentsSpanish","25Q467","Flushing Yabc","YABC","High school","Spanish","2019","All Students","11","85.5","0","0.0","11","100.0","9","81.8","na","na"
"25Q4672019All StudentsU.S. History and Government","25Q467","Flushing Yabc","YABC","High school","U.S. History and Government","2019","All Students","46","48.6","37","80.4","9","19.6","1","2.2","na","na"
"25Q4992015All StudentsCommon Core Algebra","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core Algebra","2015","All Students","29","75.1","1","3.4","28","96.6","5","17.2","26","89.7"
"25Q4992015All StudentsLiving Environment","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Living Environment","2015","All Students","29","87.1","0","0.0","29","100.0","27","93.1","na","na"
"25Q4992016All StudentsCommon Core Algebra","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core Algebra","2016","All Students","35","85.5","0","0.0","35","100.0","33","94.3","35","100.0"
"25Q4992016All StudentsCommon Core English","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core English","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"25Q4992016All StudentsLiving Environment","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Living Environment","2016","All Students","35","89.3","0","0.0","35","100.0","34","97.1","na","na"
"25Q4992017All StudentsCommon Core Algebra","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core Algebra","2017","All Students","29","88.9","0","0.0","29","100.0","27","93.1","29","100.0"
"25Q4992017All StudentsLiving Environment","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Living Environment","2017","All Students","29","87.4","0","0.0","29","100.0","27","93.1","na","na"
"25Q4992018All StudentsCommon Core Algebra","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core Algebra","2018","All Students","31","84.7","0","0.0","31","100.0","27","87.1","31","100.0"
"25Q4992018All StudentsLiving Environment","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Living Environment","2018","All Students","29","87.6","0","0.0","29","100.0","29","100.0","na","na"
"25Q4992019All StudentsCommon Core Algebra","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Common Core Algebra","2019","All Students","38","83.9","0","0.0","38","100.0","27","71.1","37","97.4"
"25Q4992019All StudentsLiving Environment","25Q499","The Queens College School for Math, Science and Te","General Academic","K-8","Living Environment","2019","All Students","29","88.3","0","0.0","29","100.0","28","96.6","na","na"
